0.000, Bid:,0,Ask:,0,
2.417, Bid:,1,86,1,Ask:,0,
3.583, Bid:,1,86,1,Ask:,1,127,1,
3.833, Bid:,1,74,1,Ask:,1,127,1,
4.500, Bid:,1,48,1,Ask:,1,127,1,
4.625, Bid:,1,84,1,Ask:,1,127,1,
4.667, Bid:,1,84,1,Ask:,2,125,1,127,1,
5.208, Bid:,2,58,1,84,1,Ask:,2,125,1,127,1,
5.375, Bid:,2,61,1,84,1,Ask:,2,125,1,127,1,
5.708, Bid:,2,48,1,61,1,Ask:,2,125,1,127,1,
6.167, Bid:,2,55,1,61,1,Ask:,2,125,1,127,1,
6.250, Bid:,2,19,1,55,1,Ask:,2,125,1,127,1,
6.500, Bid:,2,33,1,55,1,Ask:,2,125,1,127,1,
6.667, Bid:,2,33,1,77,1,Ask:,2,125,1,127,1,
7.333, Bid:,3,33,1,34,1,77,1,Ask:,2,125,1,127,1,
7.625, Bid:,3,33,1,34,1,81,1,Ask:,2,125,1,127,1,
9.125, Bid:,3,29,1,34,1,81,1,Ask:,2,125,1,127,1,
9.250, Bid:,3,29,1,34,1,66,1,Ask:,2,125,1,127,1,
9.292, Bid:,3,17,1,34,1,66,1,Ask:,2,125,1,127,1,
9.625, Bid:,3,8,1,34,1,66,1,Ask:,2,125,1,127,1,
9.750, Bid:,3,34,1,42,1,66,1,Ask:,2,125,1,127,1,
9.875, Bid:,3,34,1,35,1,42,1,Ask:,2,125,1,127,1,
9.958, Bid:,3,34,1,42,1,73,1,Ask:,2,125,1,127,1,
10.667, Bid:,4,2,1,34,1,42,1,73,1,Ask:,2,125,1,127,1,
11.083, Bid:,4,2,1,34,1,47,1,73,1,Ask:,2,125,1,127,1,
11.333, Bid:,4,2,1,21,1,34,1,73,1,Ask:,2,125,1,127,1,
12.083, Bid:,4,2,1,21,1,34,1,67,1,Ask:,2,125,1,127,1,
12.333, Bid:,4,2,1,34,1,52,1,67,1,Ask:,2,125,1,127,1,
12.500, Bid:,4,34,1,52,1,66,1,67,1,Ask:,2,125,1,127,1,
13.542, Bid:,5,34,1,52,1,53,1,66,1,67,1,Ask:,2,125,1,127,1,
14.167, Bid:,5,34,1,41,1,52,1,53,1,67,1,Ask:,2,125,1,127,1,
14.917, Bid:,6,34,1,41,1,52,1,53,1,67,1,68,1,Ask:,2,125,1,127,1,
