B00, 0
B01, 0
B02, 0
B03, 3
B03, Trade, 118.333, 123, B03, S09, 1
B03, Trade, 131.292, 129, S08, B03, 1
B03, Trade, 281.333, 119, S07, B03, 1
B04, 3
B04, Trade, 26.708, 102, S04, B04, 1
B04, Trade, 191.042, 133, B04, S01, 1
B04, Trade, 215.542, 136, S10, B04, 1
B05, 1
B05, Trade, 21.833, 125, S10, B05, 1
B06, 1
B06, Trade, 56.208, 142, S02, B06, 1
B07, 5
B07, Trade, 168.500, 144, B07, S07, 1
B07, Trade, 210.625, 140, S07, B07, 1
B07, Trade, 235.875, 139, S02, B07, 1
B07, Trade, 268.375, 122, S10, B07, 1
B07, Trade, 293.583, 123, B07, S11, 1
B08, 3
B08, Trade, 168.875, 140, B08, S06, 1
B08, Trade, 259.500, 121, B08, S08, 1
B08, Trade, 293.042, 125, S07, B08, 1
B09, 2
B09, Trade, 172.042, 132, B09, S10, 1
B09, Trade, 247.208, 132, B09, S04, 1
B10, 5
B10, Trade, 44.375, 126, B10, S04, 1
B10, Trade, 72.042, 131, B10, S07, 1
B10, Trade, 171.542, 145, S02, B10, 1
B10, Trade, 184.792, 150, B10, S04, 1
B10, Trade, 243.292, 143, B10, S03, 1
B11, 1
B11, Trade, 122.958, 120, B11, S01, 1
S00, 0
S01, 2
S01, Trade, 122.958, 120, B11, S01, 1
S01, Trade, 191.042, 133, B04, S01, 1
S02, 3
S02, Trade, 56.208, 142, S02, B06, 1
S02, Trade, 171.542, 145, S02, B10, 1
S02, Trade, 235.875, 139, S02, B07, 1
S03, 1
S03, Trade, 243.292, 143, B10, S03, 1
S04, 4
S04, Trade, 26.708, 102, S04, B04, 1
S04, Trade, 44.375, 126, B10, S04, 1
S04, Trade, 184.792, 150, B10, S04, 1
S04, Trade, 247.208, 132, B09, S04, 1
S05, 0
S06, 1
S06, Trade, 168.875, 140, B08, S06, 1
S07, 5
S07, Trade, 72.042, 131, B10, S07, 1
S07, Trade, 168.500, 144, B07, S07, 1
S07, Trade, 210.625, 140, S07, B07, 1
S07, Trade, 281.333, 119, S07, B03, 1
S07, Trade, 293.042, 125, S07, B08, 1
S08, 2
S08, Trade, 131.292, 129, S08, B03, 1
S08, Trade, 259.500, 121, B08, S08, 1
S09, 1
S09, Trade, 118.333, 123, B03, S09, 1
S10, 4
S10, Trade, 21.833, 125, S10, B05, 1
S10, Trade, 172.042, 132, B09, S10, 1
S10, Trade, 215.542, 136, S10, B04, 1
S10, Trade, 268.375, 122, S10, B07, 1
S11, 1
S11, Trade, 293.583, 123, B07, S11, 1
